                           , Benign , Historical , Extends Syntax , Use         , Use                   
AllowAmbiguousTypes        ,        ,            ,                , Specialized , Typelevel Programming 
Arrows                     ,        ,            , ✓              , Specialized , Syntax Extension      
AutoDeriveTypeable         ,        ,            ,                , Specialized , Metaprogramming       
BangPatterns               , ✓      ,            , ✓              , General     , Strictness Annotation 
CApiFFI                    ,        ,            ,                , Specialized , FFI                   
ConstrainedClassMethods    ,        ,            ,                , Specialized , Typelevel Programming 
ConstraintKinds            ,        ,            ,                , Specialized , Typelevel Programming 
CPP                        , ✓      ,            , ✓              , General     , Preprocessor          
DataKinds                  ,        ,            ,                , Specialized , Typelevel Programming 
DatatypeContexts           ,        , ✓          , ✓              , Deprecated  , Deprecated            
DefaultSignatures          , ✓      ,            ,                , Specialized , Generic Programming   
DeriveDataTypeable         , ✓      ,            ,                , General     , Generic Programming   
DeriveFoldable             , ✓      ,            ,                , General     , Generic Programming   
DeriveFunctor              , ✓      ,            ,                , General     , Generic Programming   
DeriveGeneric              , ✓      ,            ,                , General     , Generic Programming   
DeriveTraversable          , ✓      ,            ,                , General     , Generic Programming   
DisambiguateRecordFields   , ✓      ,            , ✓              , Specialized , Syntax Extension      
DoRec                      ,        , ✓          , ✓              , Specialized , Syntax Extension      
EmptyCase                  ,        ,            ,                , Specialized , Syntax Extension      
EmptyDataDecls             , ✓      ,            ,                , General     , Syntax Extension      
ExistentialQuantification  ,        ,            ,                , Specialized , Typelevel Programming 
ExplicitForAll             ,        ,            , ✓              , Specialized , Typelevel Programming 
ExplicitNamespaces         , ✓      ,            , ✓              , Specialized , Syntax Disambiguation 
ExtendedDefaultRules       , ✓      ,            ,                , Specialized , Generic Programming   
FlexibleContexts           ,        ,            ,                , General     , Typeclass Extension   
FlexibleInstances          ,        ,            ,                , General     , Typeclass Extension   
ForeignFunctionInterface   ,        ,            , ✓              , General     , FFI                   
FunctionalDependencies     ,        ,            ,                , General     , Typeclass Extension   
GADTs                      ,        ,            ,                , General     , Typelevel Programming 
GADTSyntax                 ,        ,            , ✓              , General     , Syntax Extension      
GeneralizedNewtypeDeriving ,        ,            ,                , General     , Typeclass Extension   
GHCForeignImportPrim       ,        ,            ,                , Specialized , FFI                   
ImplicitParams             ,        ,            ,                , Specialized , Typelevel Programming 
ImpredicativeTypes         ,        ,            ,                , Specialized , Typelevel Programming 
IncoherentInstances        ,        ,            ,                , Specialized , Typelevel Programming 
InstanceSigs               ,        ,            ,                , Specialized , Typelevel Programming 
InterruptibleFFI           ,        ,            ,                , Specialized , FFI                   
KindSignatures             ,        ,            ,                , Specialized , Typelevel Programming 
LambdaCase                 , ✓      ,            , ✓              , General     , Syntax Extension      
LiberalTypeSynonyms        ,        ,            ,                , Specialized , Typeclass Extension   
MagicHash                  ,        ,            ,                , Specialized , GHC Internals         
MonadComprehensions        ,        ,            , ✓              , Specialized , Syntax Extension      
MonoPatBinds               ,        ,            ,                , Specialized , Type Disambiguation   
MultiParamTypeClasses      , ✓      ,            ,                , General     , Typeclass Extension   
MultiWayIf                 ,        ,            , ✓              , Specialized , Syntax Extension      
NamedFieldPuns             ,        ,            , ✓              , Specialized , Syntax Extension      
NegativeLiterals           ,        ,            ,                , General     , Type Disambiguation   
NoImplicitPrelude          ,        ,            ,                , Specialized , Import Disambiguation 
NoMonoLocalBinds           ,        ,            ,                , General     , Type Disambiguation   
NoMonomorphismRestriction  ,        ,            ,                , General     , Type Disambiguation   
NPlusKPatterns             ,        , ✓          , ✓              , Deprecated  , Deprecated            
NullaryTypeClasses         ,        ,            ,                , Specialized , Typeclass Extension   
NumDecimals                ,        ,            ,                , General     , Type Disambiguation   
OverlappingInstances       ,        ,            ,                , Specialized , Typeclass Extension   
OverloadedLists            ,        ,            , ✓              , General     , Syntax Extension      
OverloadedStrings          ,        ,            ,                , General     , Syntax Extension      
PackageImports             ,        ,            , ✓              , General     , Import Disambiguation 
ParallelArrays             ,        ,            ,                , Specialized , Data Parallel Haskell 
ParallelListComp           ,        ,            , ✓              , General     , Syntax Extension      
PatternGuards              ,        ,            , ✓              , General     , Syntax Extension      
PatternSynonyms            , ✓      ,            , ✓              , General     , Syntax Extension      
PolyKinds                  ,        ,            ,                , Specialized , Typelevel Programming 
PolymorphicComponents      ,        , ✓          ,                , Specialized , Deprecated            
PostfixOperators           , ✓      ,            , ✓              , Specialized , Syntax Extension      
QuasiQuotes                ,        ,            ,                , Specialized , Metaprogramming       
Rank2Types                 ,        , ✓          ,                , Specialized , Historical Artificat  
RankNTypes                 ,        ,            ,                , Specialized , Typelevel Programming 
RebindableSyntax           ,        ,            , ✓              , Specialized , Metaprogramming       
RecordWildCards            , ✓      ,            , ✓              , General     , Syntax Extension      
RecursiveDo                ,        ,            ,                , Specialized , Syntax Extension      
RelaxedPolyRec             ,        ,            ,                , Specialized , Type Disambiguation   
Role Annotations           ,        ,            ,                , Specialized , Type Disambiguation   
Safe                       ,        ,            ,                , Specialized , Security Auditing     
Safe Imports               ,        ,            ,                , Specialized , Security Auditing     
ScopedTypeVariables        ,        ,            ,                , Specialized , Typelevel Programming 
StandaloneDeriving         , ✓      ,            , ✓              , General     , Typeclass Extension   
TemplateHaskell            , ✓      ,            , ✓              , Specialized , Metaprogramming       
TraditionalRecordSyntax    ,        , ✓          , ✓              , Specialized , Historical Artificat  
TransformListComp          ,        ,            , ✓              , Specialized , Syntax Extension      
Trustworthy                ,        ,            ,                , Specialized , Security Auditing     
TupleSections              , ✓      ,            ,                , General     , Syntax Extension      
TypeFamilies               ,        ,            ,                , Specialized , Typelevel Programming 
TypeHoles                  , ✓      ,            ,                , General     , Interactive Typing    
TypeOperators              ,        ,            ,                , Specialized , Typelevel Programming 
TypeSynonymInstances       , ✓      ,            ,                , General     , Typeclass Extension   
UnboxedTuples              ,        ,            ,                , Specialized , FFI                   
UndecidableInstances       ,        ,            ,                , Specialized , Typelevel Programming 
UnicodeSyntax              ,        ,            , ✓              , Specialized , Syntax Extension      
UnliftedFFITypes           ,        ,            ,                , Specialized , FFI                   
Unsafe                     ,        ,            ,                , Specialized , Security Auditing     
ViewPatterns               , ✓      ,            , ✓              , General     , Syntax Extension      
